vorfall,id,wochentag,dauer,kategorie,jahr,monat,datum,linie,vorfall_text,stoerungsart,meldung,start,ende,linienbezeichnung
Verkehrsbehinderung,137,Samstag,4,verylow,2015,2,21.02.15,9,Verkehrsbehinderung,Stoerung,Auf den Linien 9 10 12 und 30 ist infolge der Sperrung des Kornhausplatzes und der Altstadt mit Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 18:01,21.02.15 18:05,Wabern - Wankdorf Bahnhof
Verkehrsbehinderung,138,Samstag,4,verylow,2015,2,21.02.15,12,Verkehrsbehinderung,Stoerung,Auf den Linien 9 10 12 und 30 ist infolge der Sperrung des Kornhausplatzes und der Altstadt mit Umleitungen und unregelmaessigem Betrieb zu rechnen.,21.02.15 18:01,21.02.15 18:05,Längasse - Zentrum Paul Klee
Fahrzeugpanne,139,Dienstag,57,low,2015,2,17.02.15,8,Fahrzeugpanne,Geplante Stoerung,17.02.2015 18:15 Uhr: Auf den Linien 7 und 8 ist infolge einer Fahrzeugpanne mit Verspaetungen und unregelmaessigem Betrieb zu rechnen. Dauer: ca. 1h.,17.02.15 18:15,17.02.15 19:11,Brünnen Westside Bahnhof - Saali
Fahrzeugpanne,140,Dienstag,57,low,2015,2,17.02.15,8,Fahrzeugpanne,Geplante Stoerung,17.02.2015 18:15 Uhr: Auf den Linien 7 und 8 ist infolge einer Fahrzeugpanne mit Verspaetungen und unregelmaessigem Betrieb zu rechnen. Dauer: ca. 1h.,17.02.15 18:15,17.02.15 19:11,Brünnen Westside Bahnhof - Saali
Fahrzeugpanne,141,Dienstag,57,low,2015,2,17.02.15,7,Fahrzeugpanne,Geplante Stoerung,17.02.2015 18:15 Uhr: Auf den Linien 7 und 8 ist infolge einer Fahrzeugpanne mit Verspaetungen und unregelmaessigem Betrieb zu rechnen. Dauer: ca. 1h.,17.02.15 18:15,17.02.15 19:11,Bümpliz - Ostring
Fahrzeugpanne,142,Dienstag,68,low,2015,2,17.02.15,7,Fahrzeugpanne,Geplante Stoerung,17.02.2015 18:15 Uhr: Auf der Linie 7 ist infolge einer Fahrzeugpanne mit Verspaetungen und unregelmaessigem Betrieb zu rechnen. Dauer: ca. 1h.,17.02.15 18:15,17.02.15 19:22,Bümpliz - Ostring
Fahrzeugpanne,143,Mittwoch,31,low,2015,2,18.02.15,160,Fahrzeugpanne,Stoerung,Auf der Linie 160 faellt infolge einer Fahrzeugpanne der Kurs um 05:55 Uhr ab Rubigen Bahnhof Richtung Bern Flughafen aus. Die naechste Abfahrt erfolgt um 06:32 Uhr.  ,18.02.15 06:05,18.02.15 06:36,Konolfingen - Belp
Verkehrsueberlastung,144,Donnerstag,96,low,2015,2,19.02.15,9,Verkehrsueberlastung,Geplante Stoerung,19.02.2015 17:34 Uhr: Auf den Linien 9 und 20 ist infolge Verkehrueberlastung mit unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,19.02.15 17:35,19.02.15 19:11,Wabern - Wankdorf Bahnhof
Verkehrsueberlastung,145,Donnerstag,96,low,2015,2,19.02.15,20,Verkehrsueberlastung,Geplante Stoerung,19.02.2015 17:34 Uhr: Auf den Linien 9 und 20 ist infolge Verkehrueberlastung mit unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,19.02.15 17:35,19.02.15 19:11,Bern Bahnhof - Wankdorf Bahnhof
Verkehrsueberlastung,146,Donnerstag,96,low,2015,2,19.02.15,20,Verkehrsueberlastung,Geplante Stoerung,19.02.2015 17:34 Uhr: Auf den Linien 9 und 20 ist infolge Verkehrueberlastung mit unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,19.02.15 17:35,19.02.15 19:11,Bern Bahnhof - Wankdorf Bahnhof
Verkehrsueberlastung,147,Donnerstag,96,low,2015,2,19.02.15,9,Verkehrsueberlastung,Geplante Stoerung,19.02.2015 17:34 Uhr: Auf den Linien 9 und 20 ist infolge Verkehrueberlastung mit unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,19.02.15 17:35,19.02.15 19:11,Wabern - Wankdorf Bahnhof
Kundgebung_oder_Veranstaltung,148,Donnerstag,299,medium,2015,2,19.02.15,9,Kundgebung oder Veranstaltung,Stoerung,Auf der Linie 9 ist infolge einer Veranstaltung die Strecke zwischen Guisanplatz Expo und Wankdorf Bahnhof nicht bedient. Dauer: bis 19.02.2015 ca. 22:00 Uhr.,19.02.15 17:01,19.02.15 22:00,Wabern - Wankdorf Bahnhof
Kundgebung_oder_Veranstaltung,149,Donnerstag,299,medium,2015,2,19.02.15,9,Kundgebung oder Veranstaltung,Stoerung,Auf der Linie 9 ist infolge einer Veranstaltung die Strecke zwischen Guisanplatz Expo und Wankdorf Bahnhof nicht bedient. Dauer: bis 19.02.2015 ca. 22:00 Uhr.,19.02.15 17:01,19.02.15 22:00,Wabern - Wankdorf Bahnhof
Kundgebung_oder_Veranstaltung,150,Freitag,1319,high,2015,2,20.02.15,12,Kundgebung oder Veranstaltung,Stoerung,Auf der Linie 12 ist infolge der Baerner Fasnacht zwischen Zytglogge und Nydegg via Brunn- und Postgasshalde umgeleitet.,20.02.15 15:31,21.02.15 13:30,Längasse - Zentrum Paul Klee
Kundgebung_oder_Veranstaltung,151,Freitag,1319,high,2015,2,20.02.15,12,Kundgebung oder Veranstaltung,Stoerung,Auf der Linie 12 ist infolge der Baerner Fasnacht zwischen Zytglogge und Nydegg via Brunn- und Postgasshalde umgeleitet.,20.02.15 15:31,21.02.15 13:30,Längasse - Zentrum Paul Klee
Betriebsstoerung,152,Samstag,51,low,2015,2,21.02.15,6,Betriebsstoerung,Geplante Stoerung,21.02.2015 08:51 Uhr: Auf den Linien 6 7 und 8 ist infolge einer Betriebsstoerung auf der Strecke zwischen Bern Bahnhof und Ostring Saal Worb mit Verspaetungen und Kursausfaellen zu rechnen. Dauer: unbestimmt.,21.02.15 08:52,21.02.15 09:43,Fischermätteli - Worb Dorf
Betriebsstoerung,153,Samstag,51,low,2015,2,21.02.15,7,Betriebsstoerung,Geplante Stoerung,21.02.2015 08:51 Uhr: Auf den Linien 6 7 und 8 ist infolge einer Betriebsstoerung auf der Strecke zwischen Bern Bahnhof und Ostring Saal Worb mit Verspaetungen und Kursausfaellen zu rechnen. Dauer: unbestimmt.,21.02.15 08:52,21.02.15 09:43,Bümpliz - Ostring
Betriebsstoerung,154,Samstag,51,low,2015,2,21.02.15,8,Betriebsstoerung,Geplante Stoerung,21.02.2015 08:51 Uhr: Auf den Linien 6 7 und 8 ist infolge einer Betriebsstoerung auf der Strecke zwischen Bern Bahnhof und Ostring Saal Worb mit Verspaetungen und Kursausfaellen zu rechnen. Dauer: unbestimmt.,21.02.15 08:52,21.02.15 09:43,Brünnen Westside Bahnhof - Saali
Betriebsstoerung,155,Samstag,41,low,2015,2,21.02.15,6,Betriebsstoerung,Geplante Stoerung,21.02.2015 09:42 Uhr: Auf den Linien 6 7 und 8 ist infolge einer Betriebsstoerung mit unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,21.02.15 09:42,21.02.15 10:23,Fischermätteli - Worb Dorf
Betriebsstoerung,156,Samstag,41,low,2015,2,21.02.15,7,Betriebsstoerung,Geplante Stoerung,21.02.2015 09:42 Uhr: Auf den Linien 6 7 und 8 ist infolge einer Betriebsstoerung mit unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,21.02.15 09:42,21.02.15 10:23,Bümpliz - Ostring
Betriebsstoerung,157,Samstag,41,low,2015,2,21.02.15,8,Betriebsstoerung,Geplante Stoerung,21.02.2015 09:42 Uhr: Auf den Linien 6 7 und 8 ist infolge einer Betriebsstoerung mit unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,21.02.15 09:42,21.02.15 10:23,Brünnen Westside Bahnhof - Saali
Kundgebung_oder_Veranstaltung,158,Samstag,299,medium,2015,2,21.02.15,6,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 9 10 12 19 und 30 ist infolge eines Fasnachtsumzuges mit unregelmaessigem Betrieb zu rechnen. Dauer: bis 21.02.2015 ca. 18:00 Uhr.,21.02.15 13:31,21.02.15 18:29,Fischermätteli - Worb Dorf
Kundgebung_oder_Veranstaltung,159,Samstag,299,medium,2015,2,21.02.15,9,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 9 10 12 19 und 30 ist infolge eines Fasnachtsumzuges mit unregelmaessigem Betrieb zu rechnen. Dauer: bis 21.02.2015 ca. 18:00 Uhr.,21.02.15 13:31,21.02.15 18:29,Wabern - Wankdorf Bahnhof
Kundgebung_oder_Veranstaltung,160,Samstag,299,medium,2015,2,21.02.15,10,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 9 10 12 19 und 30 ist infolge eines Fasnachtsumzuges mit unregelmaessigem Betrieb zu rechnen. Dauer: bis 21.02.2015 ca. 18:00 Uhr.,21.02.15 13:31,21.02.15 18:29,Köniz Schliern - Ostermundigen Rüti
Kundgebung_oder_Veranstaltung,161,Samstag,299,medium,2015,2,21.02.15,12,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 9 10 12 19 und 30 ist infolge eines Fasnachtsumzuges mit unregelmaessigem Betrieb zu rechnen. Dauer: bis 21.02.2015 ca. 18:00 Uhr.,21.02.15 13:31,21.02.15 18:29,Längasse - Zentrum Paul Klee
Kundgebung_oder_Veranstaltung,162,Samstag,299,medium,2015,2,21.02.15,19,Kundgebung oder Veranstaltung,Stoerung,Auf den Linien 6 9 10 12 19 und 30 ist infolge eines Fasnachtsumzuges mit unregelmaessigem Betrieb zu rechnen. Dauer: bis 21.02.2015 ca. 18:00 Uhr.,21.02.15 13:31,21.02.15 18:29,Blinzern - Elfenau
